training_sample_size,sampling_seed,candidate_rank,state_id,visited_count,support_fraction,minimum_support_used,minimum_support_fraction_used,logistic_regression_coefficient,positive_logistic_score,random_forest_importance,empirical_target_probability_if_visited,empirical_target_probability_if_not_visited,empirical_probability_difference,support_weight,combined_ranking_score
2500,2026,12,62,411,0.1644,13,0.0052,-0.13924758787240799,0.0,0.023705489172453353,0.2773722627737226,0.2853039731929153,-0.007931710419192661,0.9693396226415094,0.2632485899983033
2500,2026,13,83,46,0.0184,13,0.0052,-0.25301291743488646,0.0,0.010117820750763994,0.3695652173913043,0.2823960880195599,0.08716912937174442,0.7796610169491526,0.25566505628394254
2500,2026,14,49,189,0.0756,13,0.0052,-0.12091196079172616,0.0,0.023318352274478336,0.2698412698412698,0.28515794028559066,-0.015316670444320835,0.9356435643564357,0.24994788174005236
2500,2026,15,87,148,0.0592,13,0.0052,-0.2179261476184699,0.0,0.0232884834205752,0.2702702702702703,0.2848639455782313,-0.014593675307961018,0.9192546583850931,0.24525519409325178
2500,2026,16,56,277,0.1108,13,0.0052,0.08869761545375515,0.16771842877911633,0.012608207062743262,0.30324909747292417,0.28160143949617633,0.021647657976747836,0.9551724137931035,0.24165700242628954
2500,2026,17,32,56,0.0224,13,0.0052,0.03831335537139048,0.07244677020089473,0.010765148973928058,0.3392857142857143,0.2827332242225859,0.0565524900631284,0.8115942028985508,0.2313202224802426
2500,2026,18,48,1982,0.7928,13,0.0052,0.12255633012226,0.2317419134650469,0.013502092614534408,0.2840565085771948,0.28378378378378377,0.00027272479341100553,0.993483709273183,0.23107783871496113
2500,2026,19,50,277,0.1108,13,0.0052,0.08869761545375515,0.16771842877911633,0.011630238141616631,0.30324909747292417,0.28160143949617633,0.021647657976747836,0.9551724137931035,0.23095542022951707
2500,2026,20,43,277,0.1108,13,0.0052,0.08869761545375515,0.16771842877911633,0.011144331798505793,0.30324909747292417,0.28160143949617633,0.021647657976747836,0.9551724137931035,0.22563831192637862
5000,42,1,75,120,0.024,25,0.005,0.47946559309200654,1.0,0.02399803412895724,0.39166666666666666,0.28135245901639344,0.11031420765027322,0.8275862068965517,0.5743036606484241
5000,42,2,69,120,0.024,25,0.005,0.47946559309200654,1.0,0.02198169796430351,0.39166666666666666,0.28135245901639344,0.11031420765027322,0.8275862068965517,0.5629874440357692
5000,42,3,61,47,0.0094,25,0.005,0.252770934376363,0.5271930624808312,0.022053452131715702,0.46808510638297873,0.28225317989097515,0.18583192649200359,0.6527777777777778,0.42993223862979185
